tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,total
2026-07-17,Botol Minum 1L,Rumah Tangga,3,60191,180573
2026-07-17,Kemeja Flanel,Fashion,1,153825,153825
2026-07-17,Lampu LED,Rumah Tangga,4,55827,223308
2026-07-17,Botol Minum 1L,Rumah Tangga,1,65835,65835
2026-07-17,Botol Minum 1L,Rumah Tangga,5,69254,346270
2026-07-17,Tas Ransel,Fashion,5,185273,926365
2026-07-17,Botol Minum 1L,Rumah Tangga,1,65014,65014
2026-07-17,Botol Minum 1L,Rumah Tangga,3,60876,182628
2026-07-17,Kipas Angin Meja,Elektronik,2,144691,289382
2026-07-17,Headset Bluetooth,Elektronik,6,177533,1065198
2026-07-17,Set Pisau Dapur,Rumah Tangga,2,145527,291054
2026-07-18,Kemeja Flanel,Fashion,4,162027,648108
2026-07-18,Tas Ransel,Fashion,4,198054,792216
2026-07-18,Power Bank 10000mAh,Elektronik,7,238323,1668261
2026-07-18,Tas Ransel,Fashion,4,191460,765840
2026-07-18,Kipas Angin Meja,Elektronik,7,163718,1146026
2026-07-18,Mouse Wireless,Elektronik,7,121667,851669
2026-07-18,Tas Ransel,Fashion,4,183812,735248
2026-07-18,Kemeja Flanel,Fashion,5,177347,886735
2026-07-18,Mouse Wireless,Elektronik,1,126900,126900
2026-07-18,Kemeja Flanel,Fashion,4,166555,666220
2026-07-18,Mouse Wireless,Elektronik,7,128402,898814
2026-07-18,Power Bank 10000mAh,Elektronik,5,250724,1253620
2026-07-18,Set Pisau Dapur,Rumah Tangga,4,141794,567176
2026-07-18,Kemeja Flanel,Fashion,2,156558,313116
2026-07-18,Celana Jeans,Fashion,5,251832,1259160
2026-07-19,Mouse Wireless,Elektronik,4,118098,472392
2026-07-19,Power Bank 10000mAh,Elektronik,7,245301,1717107
2026-07-19,Kipas Angin Meja,Elektronik,1,164515,164515
2026-07-19,Tas Ransel,Fashion,7,189907,1329349
2026-07-19,Mouse Wireless,Elektronik,2,126944,253888
2026-07-19,Mouse Wireless,Elektronik,7,118616,830312
2026-07-19,Mouse Wireless,Elektronik,1,129423,129423
2026-07-19,Sneakers,Fashion,5,313052,1565260
2026-07-19,Lampu LED,Rumah Tangga,5,53107,265535
2026-07-19,Kaos Polos,Fashion,7,75408,527856
2026-07-19,Kaos Polos,Fashion,10,73414,734140
2026-07-19,Botol Minum 1L,Rumah Tangga,5,67802,339010
2026-07-19,Set Pisau Dapur,Rumah Tangga,2,145637,291274
2026-07-19,Kaos Polos,Fashion,5,78615,393075
2026-07-19,Headset Bluetooth,Elektronik,8,189178,1513424
2026-07-20,Kipas Angin Meja,Elektronik,1,163578,163578
2026-07-20,Kemeja Flanel,Fashion,2,154014,308028
2026-07-20,Kemeja Flanel,Fashion,5,163662,818310
2026-07-20,Mouse Wireless,Elektronik,1,131620,131620
2026-07-20,Kaos Polos,Fashion,4,78800,315200
2026-07-20,Sneakers,Fashion,7,297126,2079882
2026-07-20,Kaos Polos,Fashion,3,73633,220899
2026-07-20,Kaos Polos,Fashion,4,69338,277352
2026-07-20,Tas Ransel,Fashion,2,189861,379722
2026-07-20,Mouse Wireless,Elektronik,4,115766,463064
2026-07-20,Kipas Angin Meja,Elektronik,4,163211,652844
2026-07-20,Botol Minum 1L,Rumah Tangga,1,66199,66199
2026-07-20,Headset Bluetooth,Elektronik,5,177775,888875
2026-07-20,Kipas Angin Meja,Elektronik,4,157700,630800
2026-07-20,Power Bank 10000mAh,Elektronik,2,255825,511650
2026-07-21,Headset Bluetooth,Elektronik,7,177257,1240799
2026-07-21,Power Bank 10000mAh,Elektronik,4,229745,918980
2026-07-21,Lampu LED,Rumah Tangga,5,55317,276585
2026-07-21,Lampu LED,Rumah Tangga,2,52729,105458
2026-07-21,Kemeja Flanel,Fashion,5,163131,815655
2026-07-21,Celana Jeans,Fashion,4,225245,900980
2026-07-21,Mouse Wireless,Elektronik,1,128287,128287
2026-07-21,Set Pisau Dapur,Rumah Tangga,1,156011,156011
2026-07-21,Set Pisau Dapur,Rumah Tangga,5,146022,730110
2026-07-21,Set Pisau Dapur,Rumah Tangga,4,133871,535484
2026-07-21,Headset Bluetooth,Elektronik,5,189015,945075
2026-07-21,Kipas Angin Meja,Elektronik,1,143002,143002
2026-07-21,Celana Jeans,Fashion,1,225266,225266
2026-07-21,Lampu LED,Rumah Tangga,3,57069,171207
2026-07-21,Mouse Wireless,Elektronik,5,115886,579430
2026-07-22,Tas Ransel,Fashion,4,184862,739448
2026-07-22,Kipas Angin Meja,Elektronik,2,154467,308934
2026-07-22,Mouse Wireless,Elektronik,4,116262,465048
2026-07-22,Headset Bluetooth,Elektronik,2,178885,357770
2026-07-22,Headset Bluetooth,Elektronik,6,179541,1077246
2026-07-22,Sneakers,Fashion,7,345043,2415301
2026-07-22,Kemeja Flanel,Fashion,2,152766,305532
2026-07-22,Kemeja Flanel,Fashion,1,161224,161224
2026-07-22,Tas Ransel,Fashion,1,189756,189756
2026-07-22,Celana Jeans,Fashion,4,232629,930516
2026-07-22,Kipas Angin Meja,Elektronik,4,153505,614020
2026-07-22,Celana Jeans,Fashion,4,252812,1011248
2026-07-22,Kipas Angin Meja,Elektronik,5,154938,774690
2026-07-22,Kemeja Flanel,Fashion,4,172950,691800
2026-07-22,Power Bank 10000mAh,Elektronik,2,242279,484558
2026-07-23,Celana Jeans,Fashion,3,220057,660171
2026-07-23,Tas Ransel,Fashion,4,188623,754492
2026-07-23,Lampu LED,Rumah Tangga,2,56915,113830
2026-07-23,Kipas Angin Meja,Elektronik,4,153608,614432
2026-07-23,Headset Bluetooth,Elektronik,6,191713,1150278
2026-07-23,Sneakers,Fashion,2,308457,616914
2026-07-23,Tas Ransel,Fashion,3,199290,597870
2026-07-23,Set Pisau Dapur,Rumah Tangga,2,151985,303970
2026-07-23,Headset Bluetooth,Elektronik,8,174426,1395408
2026-07-23,Botol Minum 1L,Rumah Tangga,1,60161,60161
2026-07-23,Kaos Polos,Fashion,5,78342,391710
2026-07-23,Sneakers,Fashion,4,343012,1372048
2026-07-23,Mouse Wireless,Elektronik,3,128581,385743
2026-07-23,Celana Jeans,Fashion,1,232892,232892
2026-07-23,Lampu LED,Rumah Tangga,3,51811,155433
2026-07-24,Tas Ransel,Fashion,1,188095,188095
2026-07-24,Headset Bluetooth,Elektronik,7,191975,1343825
2026-07-24,Sneakers,Fashion,3,341173,1023519
2026-07-24,Kemeja Flanel,Fashion,2,170386,340772
2026-07-24,Lampu LED,Rumah Tangga,4,53113,212452
2026-07-24,Kaos Polos,Fashion,3,70471,211413
2026-07-24,Mouse Wireless,Elektronik,4,132973,531892
2026-07-24,Power Bank 10000mAh,Elektronik,3,257172,771516
2026-07-24,Tas Ransel,Fashion,1,190239,190239
2026-07-24,Set Pisau Dapur,Rumah Tangga,3,145978,437934
2026-07-24,Mouse Wireless,Elektronik,2,129236,258472
2026-07-24,Celana Jeans,Fashion,1,235329,235329
2026-07-24,Kaos Polos,Fashion,4,78504,314016
2026-07-24,Headset Bluetooth,Elektronik,7,180882,1266174
2026-07-24,Botol Minum 1L,Rumah Tangga,5,68158,340790
2026-07-25,Power Bank 10000mAh,Elektronik,6,227977,1367862
2026-07-25,Kipas Angin Meja,Elektronik,8,160427,1283416
2026-07-25,Sneakers,Fashion,10,333781,3337810
2026-07-25,Mouse Wireless,Elektronik,1,134447,134447
2026-07-25,Botol Minum 1L,Rumah Tangga,8,64644,517152
2026-07-25,Celana Jeans,Fashion,8,221025,1768200
2026-07-25,Tas Ransel,Fashion,3,197738,593214
2026-07-25,Sneakers,Fashion,3,320146,960438
2026-07-25,Set Pisau Dapur,Rumah Tangga,3,136949,410847
2026-07-25,Mouse Wireless,Elektronik,3,121453,364359
2026-07-25,Celana Jeans,Fashion,8,251825,2014600
2026-07-25,Kemeja Flanel,Fashion,5,174132,870660
2026-07-25,Kaos Polos,Fashion,11,76620,842820
2026-07-25,Mouse Wireless,Elektronik,8,127500,1020000
2026-07-25,Set Pisau Dapur,Rumah Tangga,3,135567,406701
2026-07-26,Lampu LED,Rumah Tangga,7,51956,363692
2026-07-26,Kipas Angin Meja,Elektronik,4,164969,659876
2026-07-26,Lampu LED,Rumah Tangga,1,50962,50962
2026-07-26,Power Bank 10000mAh,Elektronik,7,227182,1590274
2026-07-26,Kemeja Flanel,Fashion,7,168989,1182923
2026-07-26,Sneakers,Fashion,4,326047,1304188
2026-07-26,Tas Ransel,Fashion,4,196422,785688
2026-07-26,Botol Minum 1L,Rumah Tangga,5,62346,311730
2026-07-26,Kemeja Flanel,Fashion,1,163773,163773
2026-07-26,Mouse Wireless,Elektronik,5,123792,618960
2026-07-26,Botol Minum 1L,Rumah Tangga,7,61921,433447
2026-07-26,Mouse Wireless,Elektronik,4,121251,485004
2026-07-26,Kipas Angin Meja,Elektronik,4,167102,668408
2026-07-26,Sneakers,Fashion,8,301095,2408760
2026-07-26,Set Pisau Dapur,Rumah Tangga,2,135863,271726
2026-07-27,Kemeja Flanel,Fashion,2,163669,327338
2026-07-27,Power Bank 10000mAh,Elektronik,4,227383,909532
2026-07-27,Lampu LED,Rumah Tangga,2,54279,108558
2026-07-27,Celana Jeans,Fashion,3,251309,753927
2026-07-27,Kaos Polos,Fashion,7,78157,547099
2026-07-27,Botol Minum 1L,Rumah Tangga,3,64987,194961
2026-07-27,Botol Minum 1L,Rumah Tangga,4,60041,240164
2026-07-27,Set Pisau Dapur,Rumah Tangga,2,144007,288014
2026-07-27,Kaos Polos,Fashion,2,76000,152000
2026-07-27,Kemeja Flanel,Fashion,4,164865,659460
2026-07-27,Kemeja Flanel,Fashion,1,165968,165968
2026-07-27,Sneakers,Fashion,6,301257,1807542
2026-07-27,Celana Jeans,Fashion,3,244921,734763
2026-07-27,Headset Bluetooth,Elektronik,8,182057,1456456
2026-07-27,Kaos Polos,Fashion,4,73350,293400
2026-07-28,Botol Minum 1L,Rumah Tangga,3,67749,203247
2026-07-28,Lampu LED,Rumah Tangga,1,56587,56587
2026-07-28,Mouse Wireless,Elektronik,4,134501,538004
2026-07-28,Celana Jeans,Fashion,3,246088,738264
2026-07-28,Set Pisau Dapur,Rumah Tangga,2,155183,310366
2026-07-28,Kaos Polos,Fashion,7,76229,533603
2026-07-28,Headset Bluetooth,Elektronik,5,171540,857700
2026-07-28,Celana Jeans,Fashion,5,246429,1232145
2026-07-28,Botol Minum 1L,Rumah Tangga,5,61348,306740
2026-07-28,Mouse Wireless,Elektronik,5,121559,607795
2026-07-28,Celana Jeans,Fashion,5,222310,1111550
2026-07-28,Kipas Angin Meja,Elektronik,5,163496,817480
2026-07-28,Celana Jeans,Fashion,5,235275,1176375
2026-07-28,Set Pisau Dapur,Rumah Tangga,5,144764,723820
2026-07-28,Kemeja Flanel,Fashion,1,164337,164337
